"ANNUS";"Sub_Div";"RECT";"Area";"0";"1";"2";"3";"4";"5";"6";"7";"8"
1994,00;"27";"44G7";960,50;14,41;133,27;466,46;490,10;115,37;13,23;2,45;0,00;0,00
1994,00;"27";"44G8";456,60;39,51;0,00;32,52;166,87;85,41;27,96;10,94;1,52;0,00
1994,00;"27";"45G7";908,70;81,76;157,99;184,68;223,58;32,94;2,44;2,33;0,00;0,00
1994,00;"27";"45G8";947,20;218,37;163,08;158,65;567,73;108,73;17,83;8,90;0,00;0,00
1994,00;"27";"46G8";884,80;75,99;103,28;638,85;981,42;409,76;116,71;18,53;5,80;0,00
1994,00;"28_2";"42G8";945,40;0,00;9,02;223,43;973,85;375,74;73,81;21,37;3,02;0,00
1994,00;"28_2";"42G9";986,90;0,00;45,54;177,74;460,72;586,28;390,33;279,72;85,71;186,35
1994,00;"28_2";"42H0";968,50;0,00;28,82;119,99;240,00;315,46;149,44;65,46;21,02;49,49
1994,00;"28_2";"43G8";296,20;0,00;4,23;104,80;456,78;176,24;34,62;10,03;1,42;0,00
1994,00;"28_2";"43G9";973,70;0,00;9,99;148,46;384,45;582,14;649,90;150,74;123,78;55,90
1994,00;"28_2";"43H0";973,70;155,00;80,88;463,27;1138,61;1172,91;527,37;148,90;40,44;88,15
1994,00;"28_2";"43H1";412,70;194,00;31,62;352,61;607,91;303,86;228,48;82,64;12,16;48,63
1994,00;"28_2";"44G9";876,60;0,00;8,52;76,28;289,96;264,15;289,39;140,45;74,48;38,89
1994,00;"28_2";"44H0";960,50;0,00;3,29;28,68;85,73;80,97;86,60;38,63;17,50;10,16
1994,00;"28_2";"44H1";824,60;0,00;7,75;42,73;53,78;38,27;33,26;14,90;5,84;8,34
1994,00;"28_2";"45G9";924,50;15,60;7,10;87,22;350,24;139,80;28,74;19,13;9,11;1,48
1994,00;"28_2";"45H0";947,20;0,00;1,62;16,06;39,05;35,98;34,11;19,45;10,35;2,83
1994,00;"28_2";"45H1";827,10;0,00;2,09;18,30;24,00;16,17;16,49;3,67;3,42;4,15
1994,00;"29";"46G9";933,80;7,37;11,23;310,93;1014,34;282,07;58,85;15,55;0,00;0,00
1994,00;"29";"46H0";933,80;26,35;20,96;246,92;346,26;65,72;7,83;0,74;0,00;0,00
1994,00;"29";"46H1";921,50;145,37;85,28;1017,60;938,13;81,41;19,38;0,00;0,00;0,00
1994,00;"29";"47G9";876,20;144,96;193,72;370,30;125,85;15,16;0,00;0,00;0,00;0,00
1994,00;"29";"47H0";920,30;56,59;386,64;985,56;460,23;105,75;5,66;0,00;0,00;0,00
1994,00;"29";"47H1";920,30;317,79;25,16;247,16;284,01;52,59;15,25;10,23;2,58;2,58
1995,00;"21";"41G0";108,10;10,32;0,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1995,00;"21";"41G1";946,80;313,29;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1995,00;"21";"41G2";432,30;52,01;28,53;6,53;18,90;6,36;4,54;0,00;5,05;0,00
1995,00;"21";"42G1";884,20;400,28;293,11;6,87;3,50;1,17;0,00;0,00;1,17;0,00
